"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
147,20,296,female,999,fL,range,"36.4,46.3","36.4 - 46.3","",0,"2024-12-11 12:26:51","2024-12-12 11:36:37",Dev Token,Dev Token,289274
148,22,302,all,999,%,range,"11.5,14.5","11.5 - 14.5","",0,"2024-12-11 12:26:52","2024-12-12 11:36:39",Dev Token,Dev Token,289274
149,20,302,all,999,%,range,"11.5,14.5","11.5 - 14.5","",0,"2024-12-11 12:26:53","2024-12-12 11:36:39",Dev Token,Dev Token,289274
150,22,107,male,999,"10³/μL",range,"3.8,10.6","3.8 - 10.6","",0,"2024-12-11 12:26:54","2024-12-12 11:36:40",Dev Token,Dev Token,289274
151,20,107,male,999,"10³/μL",range,"3.8,10.6","3.8 - 10.6","",0,"2024-12-11 12:26:54","2024-12-12 11:36:41",Dev Token,Dev Token,289274
152,22,107,female,999,"10³/μL",range,"3.6,11.0","3.6 - 11.0","",0,"2024-12-11 12:26:55","2024-12-12 11:36:42",Dev Token,Dev Token,289274
153,20,107,female,999,"10³/μL",range,"3.6,11.0","3.6 - 11.0","",0,"2024-12-11 12:26:55","2024-12-12 11:36:42",Dev Token,Dev Token,289274
154,22,114,all,999,%,range,"50.0,70.0","50.0 - 70.0","",0,"2024-12-11 12:26:56","2024-12-12 11:36:43",Dev Token,Dev Token,289274
155,20,114,all,999,%,range,"50.0,70.0","50.0 - 70.0","",0,"2024-12-11 12:26:56","2024-12-12 11:36:44",Dev Token,Dev Token,289274
156,22,109,all,999,%,range,"25.0,40.0","25.0 - 40.0","",0,"2024-12-11 12:26:57","2024-12-12 11:36:45",Dev Token,Dev Token,289274
157,20,109,all,999,%,range,"25.0,40.0","25.0 - 40.0","",0,"2024-12-11 12:26:57","2024-12-12 11:36:45",Dev Token,Dev Token,289274
158,22,108,all,999,%,range,"2.0,8.0","2.0 - 8.0","",0,"2024-12-11 12:26:58","2024-12-12 11:36:47",Dev Token,Dev Token,289274
159,20,108,all,999,%,range,"2.0,8.0","2.0 - 8.0","",0,"2024-12-11 12:26:58","2024-12-12 11:36:47",Dev Token,Dev Token,289274
160,22,111,all,999,%,range,"2.0,4.0","2.0 - 4.0","",0,"2024-12-11 12:26:59","2024-12-12 11:36:48",Dev Token,Dev Token,289274
161,20,111,all,999,%,range,"2.0,4.0","2.0 - 4.0","",0,"2024-12-11 12:26:59","2024-12-12 11:36:48",Dev Token,Dev Token,289274
162,22,112,all,999,%,range,"0.0,1.0","0.0 - 1.0","",0,"2024-12-11 12:27:01","2024-12-12 11:36:50",Dev Token,Dev Token,289274
163,20,112,all,999,%,range,"0.0,1.0","0.0 - 1.0","",0,"2024-12-11 12:27:01","2024-12-12 11:36:50",Dev Token,Dev Token,289274
164,22,116,male,999,"10³/μL",range,"1.78,5.38","1.78 - 5.38","",0,"2024-12-11 12:27:02","2024-12-12 11:36:51",Dev Token,Dev Token,289274
165,20,116,male,999,"10³/μL",range,"1.78,5.38","1.78 - 5.38","",0,"2024-12-11 12:27:02","2024-12-12 11:36:51",Dev Token,Dev Token,289274
