"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
103,4,41,inactive,Solo West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
104,4,42,inactive,Solo Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
105,4,43,inactive,Yogyakarta - Bantul,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
106,4,44,inactive,Palembang North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
107,4,45,inactive,Palembang West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
108,4,46,inactive,Palembang South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
109,4,47,inactive,Medan South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
110,4,48,inactive,Medan Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
111,4,49,inactive,Medan North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
112,4,50,inactive,Manado North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
113,4,51,inactive,Manado South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
114,4,52,inactive,Balikpapan North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
115,4,53,inactive,Balikpapan South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
116,4,54,inactive,Makassar South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
117,4,55,inactive,Makassar Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
118,4,56,inactive,Makassar North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
119,4,57,inactive,Sukabumi,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
120,4,58,inactive,Pontianak North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
121,4,59,inactive,Pontianak South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
122,4,60,inactive,Padang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
123,4,61,inactive,Bukittinggi,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
124,4,62,inactive,Mataram,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
125,4,63,inactive,Cirebon,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
126,4,64,inactive,Pekanbaru,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
127,4,66,inactive,Bandung East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
128,4,67,inactive,Bandung Kabupaten,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
129,4,68,inactive,Bandar Lampung East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
130,4,69,inactive,Bandar Lampung West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
131,4,70,inactive,Purwakarta,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
